"latitude;";longitude
"41.143703;";-8.6128319
"41.1437000694285;";-8.61279301219891
"41.143698420246;";-8.6128411672527
"41.1436978294589;";-8.61280778281993
"41.1436978;";-8.6108498
"41.1436972262071;";-8.61076479248546
"41.1436967818757;";-8.61078830838746
"41.1436950602022;";-8.61288998276797
"41.1436929081113;";-8.61080878764844
"41.143692127256;";-8.61076911983059
"41.1436920292085;";-8.61073036787363
"41.1436906895028;";-8.61073572937995
"41.1436906666666;";-8.61081133333333
"41.143689695784;";-8.61282309518066
"41.1436883995888;";-8.61280320586568
"41.1436882;";-8.61073875
"41.1436876841272;";-8.61089106649962
"41.1436858;";-8.6108093
"41.143681;";-8.61079816666666
"41.1436791666666;";-8.6108035
"41.1436788;";-8.6107969
"41.1436781875284;";-8.61083700715746
"41.1436766666666;";-8.61081383333333
"41.1436766200152;";-8.61282602884677
"41.1436751666666;";-8.61077866666666
"41.1436749816346;";-8.61075716816722
"41.143673576547;";-8.61077100922058
"41.14367295;";-8.61286068333333
"41.143672417044;";-8.61296505173646
"41.1436715489638;";-8.61283013597932
"41.1436577;";-8.6128593
"41.14365005;";-8.61080741666666
"41.1436299834949;";-8.61283982809098
"41.1436289965472;";-8.61301493721964
"41.1435995325555;";-8.61074805295589
"41.1435559206094;";-8.61081194133368
"41.1435542793899;";-8.61065798562587
"41.143374843855;";-8.60944211367326
"41.143311325077;";-8.60935574195579
"41.1433055112521;";-8.60939665698316
"41.1432671310336;";-8.60936566151755
"41.1432266166666;";-8.60935115
"41.1432228166666;";-8.60933208333333
"41.1432144662731;";-8.60932000736691
"41.1432056383886;";-8.60924911069597
"41.1431964759249;";-8.64743858652204
"41.143192;";-8.6092749
"41.1431854;";-8.6092578
"41.1431791666666;";-8.60938083333333
"41.1431694;";-8.64738368333333
"41.1431694;";-8.64748001666666
"41.1431660305664;";-8.60938474600448
"41.1431477;";-8.6093247
"41.1431440954587;";-8.64740500798135
"41.143135;";-8.6474215
"41.1431326;";-8.647245
"41.1431282;";-8.64745
"41.1431246297819;";-8.60938224010971
"41.1431161640595;";-8.64740112797231
"41.1431092;";-8.6472444
"41.1431066925089;";-8.64745024592489
"41.1431037300447;";-8.64741347937653
"41.1431025639967;";-8.64753115374082
"41.1431003872836;";-8.64754492071082
"41.143096;";-8.64762
"41.1430958;";-8.64739
"41.1430919015925;";-8.64740467657228
"41.1430903;";-8.6474419
"41.1430863971663;";-8.64744037421391
"41.143084439205;";-8.64754707832967
"41.1430771463002;";-8.64755325951487
"41.1430747;";-8.6475426
"41.1430704383127;";-8.64745774088349
"41.1430666666666;";-8.64745216666666
"41.1430656991803;";-8.64735364371408
"41.1430616666666;";-8.64747033333333
"41.1430616019864;";-8.64750500696101
"41.1430608;";-8.6474621
"41.1430582168409;";-8.64751480294745
"41.1430531666666;";-8.64746966666666
"41.1430489;";-8.6474356
"41.1430478761154;";-8.64749948127659
"41.1430386630078;";-8.64752168388265
"41.1430318;";-8.647527
"41.1430284;";-8.6473461
"41.1430233;";-8.6475467
"41.1429815;";-8.6473229
"41.1429721;";-8.6473435
"41.1429697;";-8.6473181
"41.1429196084301;";-8.64736324176997
"41.1426491346012;";-8.64712608938898
"41.1425257580005;";-8.64753244016518
"41.1425197;";-8.6474941
"41.1424865666666;";-8.64764213333333
"41.1424821026063;";-8.64759583098904
"41.1424807319802;";-8.64755208604843
"41.1424686;";-8.647589
"41.1424680304621;";-8.64755575479299
"41.1424661;";-8.6476463
"41.1424632;";-8.6475426
"41.1424619;";-8.64761
"41.1424604772383;";-8.64752949622311
"41.1424598;";-8.6476293
"41.1424596;";-8.6476439
"41.1424582;";-8.6475746
"41.142457;";-8.647549
"41.1424560499999;";-8.64758491666666
"41.14245495288;";-8.6476016435911
"41.1424543968178;";-8.64754740997608
"41.1424539517996;";-8.64752652124375
"41.1424518157956;";-8.64755504153917
"41.1424485;";-8.6476031
"41.1424473337836;";-8.64756536026886
"41.1424446478871;";-8.64757647738666
"41.1424441666666;";-8.6475945
"41.1424439824329;";-8.64752580465538
"41.1424435964419;";-8.64760256362274
"41.1424421;";-8.6475728
"41.1424418333333;";-8.647568
"41.1424416896565;";-8.64755995745652
"41.1424414627637;";-8.64755535499066
"41.1424402892972;";-8.64756071940869
"41.1424381100024;";-8.64759391174525
"41.1424376;";-8.6476189
"41.1424368929963;";-8.64757663755617
"41.1424361735751;";-8.64757503513863
"41.1424354;";-8.6475714
"41.1424346;";-8.6475699
"41.1424339;";-8.6475987
"41.1424336666666;";-8.64758766666666
"41.1424318;";-8.6475418
"41.1424308421595;";-8.64756975636483
"41.142430072233;";-8.64757845058634
"41.1424300349385;";-8.6475481773189
"41.142422645391;";-8.64760480821938
"41.1424226034815;";-8.64760405384809
"41.1424211666666;";-8.64756883333333
"41.1424206666666;";-8.64755033333333
"41.1424196666666;";-8.64755266666666
"41.142417753982;";-8.64751580851793
"41.1424171;";-8.6475502
"41.1424159;";-8.6475043
"41.1424151341098;";-8.64754735108675
"41.1424133;";-8.6264133
"41.1424118333333;";-8.64754333333333
"41.1424098333333;";-8.64756633333333
"41.1424088333333;";-8.64757166666666
"41.1424081666666;";-8.64756633333333
"41.1424071;";-8.6475801
"41.1424061;";-8.6475843
"41.1424033;";-8.6476033
"41.1424026666666;";-8.64753866666666
"41.1423985;";-8.6153177
"41.1423949;";-8.6475367
"41.1423943333333;";-8.64757233333333
"41.1423942;";-8.6474807
"41.1423917580781;";-8.64750992507547
"41.1423852;";-8.6475442
"41.142373317434;";-8.61536328544723
"41.1423670713333;";-8.61536447989211
"41.1423264506458;";-8.61536853997869
"41.1423245880565;";-8.61529003214122
"41.1423151;";-8.6153342
"41.1423066235199;";-8.6153759925974
"41.1422405;";-8.6152393
"41.1421508;";-8.6473263
"41.1420953333333;";-8.60699666666666
"41.1417312883306;";-8.648765800707
"41.1417292264656;";-8.64872064271242
"41.1417256;";-8.6488191
"41.1417086748791;";-8.60614506528583
"41.1417075864922;";-8.64877473436547
"41.1417016902241;";-8.60627353376518
"41.141701098126;";-8.60622504441363
"41.1416988706624;";-8.64876417486346
"41.1416968333333;";-8.64875866666666
"41.1416936962948;";-8.60620308161616
"41.1416924503646;";-8.60619766116272
"41.1416895;";-8.6487629
"41.1416891450445;";-8.60623852350619
"41.1416868;";-8.6486821
"41.1416865729176;";-8.60617818671785
"41.1416791705799;";-8.64874994383067
"41.141679;";-8.60618066666666
"41.1416778499999;";-8.64874268333333
"41.1416725;";-8.6488716
"41.141672449369;";-8.64872286145692
"41.1416699006012;";-8.64875195067424
"41.1416693423899;";-8.64875366494356
"41.1416689446579;";-8.64871851169378
"41.1416671401484;";-8.64875097930081
"41.1416667732924;";-8.60615868420221
"41.1416650743355;";-8.60616691656785
"41.1416640977479;";-8.64872231708629
"41.1416636860885;";-8.6487547222447
"41.1416631666666;";-8.64875133333333
"41.1416610056933;";-8.64876999169186
"41.1416607;";-8.6487846
"41.1416587833333;";-8.60619926666666
"41.141655241537;";-8.64873396183317
"41.1416546;";-8.6487539
"41.141654150599;";-8.64875421860129
"41.1416457;";-8.648835
"41.141645677284;";-8.64873770112245
"41.1416439;";-8.6061933
"41.141643107154;";-8.64873562624262
"41.1416424;";-8.6487646
"41.1416423321155;";-8.64873519168109
"41.1416412285377;";-8.64875793272743
